<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.07;01:20:00;0.64902;0.64921;0.64894;0.64919;75;0;16
2022.06.07;01:30:00;0.64919;0.64919;0.64902;0.64903;98;0;13
2022.06.07;01:40:00;0.64903;0.64912;0.64898;0.64899;116;0;13
2022.06.07;01:50:00;0.64899;0.64903;0.64857;0.64885;139;0;10
2022.06.07;02:00:00;0.64885;0.64900;0.64868;0.64878;104;0;9
2022.06.07;02:10:00;0.64878;0.64878;0.64845;0.64855;122;0;11
2022.06.07;02:20:00;0.64855;0.64855;0.64793;0.64812;221;0;8
2022.06.07;02:30:00;0.64812;0.64815;0.64783;0.64806;257;0;8
2022.06.07;02:40:00;0.64806;0.64855;0.64797;0.64845;206;0;12
2022.06.07;02:50:00;0.64848;0.64858;0.64825;0.64825;393;0;7
2022.06.07;03:00:00;0.64826;0.64830;0.64774;0.64810;506;0;9
2022.06.07;03:10:00;0.64808;0.64810;0.64776;0.64797;376;0;8
2022.06.07;03:20:00;0.64791;0.64794;0.64744;0.64759;510;0;9
2022.06.07;03:30:00;0.64759;0.64760;0.64712;0.64760;454;0;6
2022.06.07;03:40:00;0.64760;0.64769;0.64735;0.64764;262;0;7
2022.06.07;03:50:00;0.64764;0.64769;0.64736;0.64743;241;0;8
2022.06.07;04:00:00;0.64742;0.64751;0.64715;0.64716;419;0;9
2022.06.07;04:10:00;0.64716;0.64717;0.64636;0.64658;464;0;8
2022.06.07;04:20:00;0.64657;0.64662;0.64599;0.64616;530;0;6
2022.06.07;04:30:00;0.64616;0.64706;0.64596;0.64676;588;0;3
2022.06.07;04:40:00;0.64676;0.64722;0.64667;0.64690;568;0;8
2022.06.07;04:50:00;0.64693;0.64714;0.64667;0.64689;466;0;8
2022.06.07;05:00:00;0.64689;0.64695;0.64628;0.64631;362;0;9
2022.06.07;05:10:00;0.64633;0.64633;0.64606;0.64620;269;0;9
2022.06.07;05:20:00;0.64620;0.64652;0.64618;0.64631;267;0;8
2022.06.07;05:30:00;0.64631;0.64639;0.64603;0.64615;405;0;8
2022.06.07;05:40:00;0.64615;0.64617;0.64565;0.64583;448;0;8
2022.06.07;05:50:00;0.64583;0.64648;0.64583;0.64636;354;0;9
2022.06.07;06:00:00;0.64635;0.64667;0.64629;0.64665;203;0;8
2022.06.07;06:10:00;0.64664;0.64700;0.64655;0.64685;320;0;8
2022.06.07;06:20:00;0.64685;0.64711;0.64676;0.64697;306;0;8
2022.06.07;06:30:00;0.64694;0.64734;0.64692;0.64724;190;0;7
2022.06.07;06:40:00;0.64726;0.64729;0.64684;0.64686;209;0;8
2022.06.07;06:50:00;0.64688;0.64710;0.64687;0.64691;240;0;9
2022.06.07;07:00:00;0.64691;0.64723;0.64685;0.64710;163;0;3
2022.06.07;07:10:00;0.64710;0.64730;0.64710;0.64727;179;0;3
2022.06.07;07:20:00;0.64725;0.64780;0.64724;0.64770;269;0;4
2022.06.07;07:30:00;0.64771;0.64958;0.64704;0.64716;983;0;1
2022.06.07;07:40:00;0.64718;0.64748;0.64668;0.64674;700;0;0
2022.06.07;07:50:00;0.64674;0.64734;0.64625;0.64628;525;0;2
2022.06.07;08:00:00;0.64628;0.64666;0.64479;0.64525;682;0;0
2022.06.07;08:10:00;0.64521;0.64533;0.64484;0.64513;568;0;3
2022.06.07;08:20:00;0.64517;0.64525;0.64404;0.64438;652;0;0
2022.06.07;08:30:00;0.64440;0.64464;0.64398;0.64400;492;0;4
2022.06.07;08:40:00;0.64401;0.64454;0.64397;0.64437;449;0;3
2022.06.07;08:50:00;0.64437;0.64465;0.64409;0.64430;493;0;3
2022.06.07;09:00:00;0.64433;0.64491;0.64432;0.64450;628;0;2
2022.06.07;09:10:00;0.64451;0.64462;0.64399;0.64440;589;0;2
2022.06.07;09:20:00;0.64440;0.64494;0.64440;0.64492;434;0;3
2022.06.07;09:30:00;0.64491;0.64545;0.64467;0.64537;440;0;1
2022.06.07;09:40:00;0.64535;0.64603;0.64524;0.64603;431;0;1
2022.06.07;09:50:00;0.64596;0.64641;0.64538;0.64541;559;0;2
2022.06.07;10:00:00;0.64540;0.64616;0.64538;0.64596;662;0;3
2022.06.07;10:10:00;0.64595;0.64610;0.64560;0.64560;478;0;2
2022.06.07;10:20:00;0.64560;0.64599;0.64551;0.64574;486;0;3
2022.06.07;10:30:00;0.64573;0.64603;0.64526;0.64543;392;0;0
2022.06.07;10:40:00;0.64543;0.64549;0.64461;0.64462;394;0;1
2022.06.07;10:50:00;0.64459;0.64467;0.64429;0.64439;387;0;2
2022.06.07;11:00:00;0.64438;0.64562;0.64436;0.64558;417;0;1
2022.06.07;11:10:00;0.64558;0.64631;0.64558;0.64613;428;0;2
2022.06.07;11:20:00;0.64613;0.64620;0.64593;0.64601;266;0;2
2022.06.07;11:30:00;0.64601;0.64631;0.64583;0.64615;282;0;2
2022.06.07;11:40:00;0.64616;0.64617;0.64553;0.64568;361;0;0
2022.06.07;11:50:00;0.64570;0.64570;0.64522;0.64522;268;0;1
2022.06.07;12:00:00;0.64522;0.64541;0.64493;0.64524;406;0;0
2022.06.07;12:10:00;0.64522;0.64573;0.64522;0.64566;286;0;3
2022.06.07;12:20:00;0.64566;0.64581;0.64543;0.64568;364;0;0
2022.06.07;12:30:00;0.64566;0.64589;0.64554;0.64562;350;0;1
2022.06.07;12:40:00;0.64558;0.64561;0.64534;0.64553;236;0;0
2022.06.07;12:50:00;0.64553;0.64557;0.64518;0.64547;244;0;1
2022.06.07;13:00:00;0.64549;0.64588;0.64542;0.64585;368;0;2
2022.06.07;13:10:00;0.64583;0.64599;0.64533;0.64534;335;0;1
2022.06.07;13:20:00;0.64533;0.64540;0.64508;0.64509;282;0;0
