<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.29;13:00:00;0.68634;0.68719;0.68634;0.68717;1060;0;0
2022.06.29;13:10:00;0.68713;0.68740;0.68700;0.68725;1280;0;1
2022.06.29;13:20:00;0.68725;0.68781;0.68716;0.68766;1034;0;0
2022.06.29;13:30:00;0.68764;0.68832;0.68764;0.68801;831;0;0
2022.06.29;13:40:00;0.68802;0.68821;0.68788;0.68819;1220;0;0
2022.06.29;13:50:00;0.68815;0.68833;0.68783;0.68832;877;0;0
2022.06.29;14:00:00;0.68830;0.68871;0.68814;0.68854;832;0;0
2022.06.29;14:10:00;0.68853;0.68875;0.68818;0.68873;829;0;0
2022.06.29;14:20:00;0.68873;0.68910;0.68863;0.68909;861;0;0
2022.06.29;14:30:00;0.68909;0.68950;0.68905;0.68941;929;0;0
2022.06.29;14:40:00;0.68942;0.68949;0.68874;0.68894;836;0;0
2022.06.29;14:50:00;0.68896;0.68970;0.68856;0.68967;830;0;0
2022.06.29;15:00:00;0.68966;0.68999;0.68934;0.68935;1302;0;0
2022.06.29;15:10:00;0.68934;0.68963;0.68902;0.68917;1254;0;0
2022.06.29;15:20:00;0.68917;0.68933;0.68867;0.68884;854;0;0
2022.06.29;15:30:00;0.68884;0.68912;0.68843;0.68870;1569;0;0
2022.06.29;15:40:00;0.68870;0.68925;0.68868;0.68898;1081;0;0
2022.06.29;15:50:00;0.68898;0.68941;0.68842;0.68859;1136;0;0
2022.06.29;16:00:00;0.68860;0.68923;0.68860;0.68918;1337;0;0
2022.06.29;16:10:00;0.68918;0.68942;0.68807;0.68883;1657;0;0
2022.06.29;16:20:00;0.68883;0.68883;0.68728;0.68761;1848;0;0
2022.06.29;16:30:00;0.68759;0.68813;0.68677;0.68729;2547;0;0
2022.06.29;16:40:00;0.68730;0.68730;0.68616;0.68657;2165;0;0
2022.06.29;16:50:00;0.68656;0.68756;0.68641;0.68707;2111;0;0
2022.06.29;17:00:00;0.68707;0.68834;0.68677;0.68825;1470;0;0
2022.06.29;17:10:00;0.68825;0.68908;0.68805;0.68833;2040;0;0
2022.06.29;17:20:00;0.68831;0.68897;0.68798;0.68842;2069;0;0
2022.06.29;17:30:00;0.68841;0.68850;0.68758;0.68801;1588;0;0
2022.06.29;17:40:00;0.68802;0.68875;0.68765;0.68803;2098;0;0
2022.06.29;17:50:00;0.68804;0.68855;0.68707;0.68750;2113;0;0
2022.06.29;18:00:00;0.68751;0.68823;0.68730;0.68799;1469;0;0
2022.06.29;18:10:00;0.68800;0.68819;0.68759;0.68759;1382;0;0
2022.06.29;18:20:00;0.68757;0.68772;0.68713;0.68746;1504;0;0
2022.06.29;18:30:00;0.68745;0.68780;0.68696;0.68755;1478;0;0
2022.06.29;18:40:00;0.68757;0.68791;0.68719;0.68775;974;0;0
2022.06.29;18:50:00;0.68777;0.68869;0.68758;0.68866;915;0;0
2022.06.29;19:00:00;0.68864;0.68891;0.68838;0.68846;919;0;1
2022.06.29;19:10:00;0.68849;0.68883;0.68813;0.68824;757;0;1
2022.06.29;19:20:00;0.68824;0.68858;0.68744;0.68744;715;0;1
2022.06.29;19:30:00;0.68744;0.68807;0.68734;0.68800;827;0;1
2022.06.29;19:40:00;0.68801;0.68802;0.68730;0.68733;627;0;1
2022.06.29;19:50:00;0.68732;0.68756;0.68714;0.68718;663;0;1
2022.06.29;20:00:00;0.68718;0.68796;0.68710;0.68789;558;0;2
2022.06.29;20:10:00;0.68789;0.68802;0.68729;0.68754;481;0;2
2022.06.29;20:20:00;0.68755;0.68791;0.68738;0.68783;671;0;0
